Timestamp,How many years have you been doing data visualization?,What is your educational background?,How did you learn to create data visualization?,Did you set out to work in data visualization or did you fall into it?,Is this your first job doing data visualization?,What is your official job title?,Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?,What focus is data visualization in your work?,For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,What's your employment status,How is your organization using data visualization?,Is there a separate group that does data visualizations or are you embedded in another group? (data science UX UI web data engineering IT etc),What level of data visualizations are used at your organization?,Are data visualization specialists represented in the leadership of your organization?,Data visualization roles at your organization are found in what part of the organization?,Percent of your day focused on creating/implementing/productizing data visualizations?,Percent of your day focused on data engineering?,Percent of your day focused on data science?,Percent of your day focused on design?,Percent of your day focused on data prep work?,What technologies do you use to visualize data?,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations?,Which of these charts have you used in production in the last 6 months:,Who do you make data visualizations for?,What knowledge level do they have of the data you are visualizing for them?,How often do they consume your data visualizations?,What do they use your data visualizations for?,How would you describe the relationship?,What is your biggest frustration with your job?,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your job what would it be?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,What one change would make your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,Gender,Age,Where do you live?,What’s your ethnicity?,The organization you work for is in which of the following?
3/2/2017 6:53:19,6,Masters,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,No,Analytics Strategist,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,Don't Know,Marketing;Research,15,30,10,5,40,Tableau;ggplot;Other R,I'm able to choose my own tools.,Dashboard;Scrollytelling;Documents;Presentations;Email,Line Chart;Bar Chart;Choropleth Map,General Public;Analysts;Product Managers;Project Managers;Executives,Intro;Moderate,Daily,Analysis;Summarization,Consultative,consistent access to data,inconsistent data streams,more analysis,more time to focus on them,that 80 of the work goes into cleaning the data,cleaner data,open source being a valid option,Hadley Wickham,More,male,26 - 35,USA or Canada,white,Private sector
3/2/2017 23:29:10,5,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Senior Urban Planner,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom;GIS,Yes,Design,5,15,15,15,10,Illustrator;Excel;Tableau;D3;Leaflet;Mapbox;Other Javascript;ggplot;Other R;QGIS,I'm able to choose my own tools.,Dashboard;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Network Diagram;Choropleth Map;Raster Map,General Public;Analysts;Project Managers;Executives,Intro;Moderate,Daily,Analysis;Learning;Political decision making ,Consultative,Lack of audience knowledge (have to train them!),Not having time to learn all the great tools that are out there.,More focus on the most interesting g data and viz problems,Design more interactive-first  and less static materials designed to work on a web page or PDF ,The underlying logic and design philosophy ,More focus on designing for the internet- less on antiquated print media,,Hadley Wickham,Much more,male,26 - 35,USA or Canada,white,Private sector
3/3/2017 16:57:55,10,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,PhD Student,Data Visualization Role has higher compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Student,,,,,,10,10,10,0,10,Illustrator;Plotly;D3;Leaflet;WebGL;ggplot;Other Python;Other Network Visualization Suite,I'm able to choose my own tools.,Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Treemap;Network Diagram;Flow Diagram,Scientists,Expert,Weekly,Research,Collaborative,people don't take communicating their results seriously,i wish ggplot was part of python,$,,,,,Hadley Wickham,Same,male,36 - 45,USA or Canada,white,Public sector
3/3/2017 19:28:15,1,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Operations Analyst,Data Visualization Role has Lower compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,No,"no specific ""data viz"" roles. just part of some roles.",10,5,15,10,60,Excel;Plotly;ggplot;Other R,I'm able to choose my own tools.,Dashboard;Documents;Presentations,Line Chart;Bar Chart;Network Diagram,Project Managers;Executives,Moderate,Daily,Analysis;Summarization;making themselves look good,Collaborative,My version of R is so old- damn it. I have to use plyr instead of dplyr. WTF.,old R,Besides money- newest version of R. A smoothie bar would be nice too.,New version of R so I can blow people's minds with 3d- interactive bliss.,That R is a free download for God sake. Let me get the new one.,Forecasting tournaments or something fun/nerdy like that.,"No pretentious TedTalk-type garbage. Discussions re: how non-data people (see: ""normal"") people best absorb different types of information. I want to blow people's minds- but more than that- I want to effectively communicate with visuals.",Hadley Wickham,More,male,25 or younger,USA or Canada,white,Private sector
3/5/2017 12:26:22,5,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Research Scientist,Data Visualization Role has same compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Engineering;Research,10,25,30,10,30,Plotly;ggplot;Other R;QGIS;Gephi,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Network Diagram;Raster Map;Flow Diagram,Analysts;Engineers;Scientists;Medical Professionals;Executives,Intro;Moderate,Weekly,Analysis;Learning;Research,Consultative,lack of good data prep tools,,strengthen the statistical capabilities in my team,more interactive vis.,the possibilities in visualisations- if you work with it,,,Hadley Wickham,More,male,26 - 35,Europe,white,Not-for-profit
3/5/2017 19:40:03,6,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Data mining specialist,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,No,,10,30,30,20,30,Excel;Tableau;Microstrategy;ggplot;Other R;ArcGIS;QGIS;Gephi,We have a set list of tools we're expected to use for data visualization.,Documents;Presentations,Line Chart;Bar Chart;Network Diagram;Choropleth Map;Flow Diagram,Analysts;Medical Professionals;Project Managers;Executives,Moderate,Monthly,Analysis;Summarization;Research,Consultative,Forced to use SPSS Modeler,No Tableau,Freedom to use best tool for each task,Communicate network analysis better,They don't yet get how valuable data visualization is as a means of communication and explanation.,Freedom to use the right tool for each task.,Real life case studies.,Hadley Wickham,More,male,26 - 35,USA or Canada,white,Private sector
2/28/2017 9:10:03,1,Bachelors,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Freelancer,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Student,,,,,,10,15,5,0,17.5,ggplot;Other R,I'm able to choose my own tools.,Dashboard;Presentations,Line Chart;Bar Chart;Choropleth Map,General Public;Students,Intro,,Summarization;Learning,Collaborative,Not enough time to learn new tools,Choosing the right visualization method ,,,The amount of thought and preparatory work it takes ,,,Hadley Wickham;Tufte,More,male,26 - 35,USA or Canada,white,
2/28/2017 12:15:23,2,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Data Scientist,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Exploration,Embedded in another team,ggplot2/Pandas Charts,No,Research,40,30,100,10,10,ggplot,I'm able to choose my own tools.,Embedded in a tool;Documents;Presentations,Line Chart;Bar Chart;Dendrogram,Analysts;Scientists;Project Managers,Moderate,Weekly,Analysis;Summarization;Learning;Research,Collaborative,Underpayed,Not appreciated enough,Better colleagues,Spend more time learning new libraries,The amount of time spent getting the data in right format,More free time,More meetups,Hadley Wickham;Tufte,Much more,male,26 - 35,Europe,white,Private sector
2/28/2017 8:00:50,3,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Research Associate,Data Visualization Role has Lower compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Summary/Overview;Exploration,Embedded in another team,ggplot2/Pandas Charts,No,Design;Research,10,0,50,10,30,Plotly;D3;ggplot;Other R,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Documents;Presentations,Line Chart;Bar Chart;Infographics;Choropleth Map,General Public;Analysts,Moderate,Monthly,Summarization;Research,Consultative,Not much of an opportunity for advancement,Lack of opportunity for independent exploration or creativity,,,,,,Hadley Wickham;Mike Bostock,More,male,26 - 35,USA or Canada,white,Not-for-profit
2/27/2017 14:11:24,7,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Trait Project Lead,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview,Both,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries,No,Marketing;Research;IT,5,1,5,1,10,Tableau;Plotly;D3;Leaflet;ggplot;Other R;Java,I'm able to choose my own tools.,Static Web Page;Documents;Presentations;Email,Line Chart;Network Diagram;Choropleth Map;Raster Map,Scientists;Project Managers,Moderate,Quarterly,Analysis;Summarization;Research,Subordinate,Involvement,munging time > vis time,Stakeholder buy-in,Simpler modeling ,How valuable it is and how much time it takes to do well. ,Focus on fewer things,Easier ways to build interactivity and modify it to fit purpose,Hadley Wickham;Mike Bostock;Carson Sievert,More,male,36 - 45,USA or Canada,white,Private sector
2/28/2017 5:19:59,3,Technical School,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Interactives developer/datavisualization,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Hired to do data visualization,Full-time,Communication,Embedded in another team,Completely custom,No,Design,80,0,0,30,30,Illustrator;Excel;D3;Processing;Other Javascript;ggplot,I'm able to choose my own tools.,Embedded in a tool;Static Web Page,Line Chart;Bar Chart;Infographics;Choropleth Map;Raster Map,General Public,Intro,Daily,Entertainment,Subordinate,Learning- appreciation,appreciation,Self-demand,Greater professionalism-  be able of competing at international level ,they dont know about what data visualization actually is,know about what others are doing- know about places and time necesary to develop,Spread the message!,Hadley Wickham;Mike Bostock;Jason Davies;Philippe Rivière,Much more,male,26 - 35,Europe,white,Private sector
2/28/2017 2:31:42,2,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Intern,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Student,,,,,,10,10,40,0,10,ggplot,I'm able to choose my own tools.,Documents;Presentations,Line Chart;Bar Chart;Dendrogram;Beeswarm,Scientists,Moderate,Weekly,Research,Collaborative,Working on wrong hypothesis ,Not easily interactive ,,More interactive ,,Cross language support for visualization tools (ggplot on the jvm),"Mechanism to communicate iterative process to arrive at a result. For example ""better"" notebooks which allow the visualization of the process without cluttering the main story.",Hadley Wickham;Mike Bostock;NYT;Nathan Yau,Same,male,25 or younger,Europe,white,Public sector
2/28/2017 0:28:13,8,Other,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,MI Analyst,Data Visualization Role has Lower compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,No,IT,10,45,10,5,30,Excel;Plotly;Other BI;D3;Leaflet;ggplot;Other R,I'm able to choose my own tools.,Dashboard;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Treemap;Choropleth Map;Scatter;heat map;box plot,Product Managers;Project Managers;Executives,Expert,Daily,Analysis;Summarization,Consultative,Poor specifications,Lack of options for delivery,Proper project management prior to commencing work,Use of an online repository for delivery of dynamic reporting,The time and effort taken to produce a meaningful visualisation that can be easily consumed,Agreed and well thought out specifications,,Hadley Wickham;Nadieh Bremer;Mike Bostock,More,male,36 - 45,Europe,,Private sector
2/27/2017 14:27:16,1,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Graduate Student,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Student,,,,,,5,1,5,5,10,Excel;Tableau;Plotly;ggplot,I'm able to choose my own tools.,Documents;Presentations,Line Chart;Bar Chart;Raster Map,General Public;Scientists,Moderate,Quarterly,Analysis;Summarization;Research,Consultative,,Not knowing the programming languages necessary for online interactive viz,,,That they could do it too if they spent the time to learn,,,Hadley Wickham;Nadieh Bremer;Nathan Yau,More,male,26 - 35,USA or Canada,white,Public sector
2/27/2017 18:43:00,4,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Analyst,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries,No,Research,33,7,50,,10,Excel;Plotly;D3;Leaflet;ggplot;Other R,I'm able to choose my own tools.,Dashboard;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Infographics;Network Diagram;Choropleth Map,General Public;Analysts;Project Managers;Executives,Intro;Moderate;Expert,Weekly,Analysis;Summarization;Learning;Research,Consultative,Data collection is expensive and difficult,Tweaking ggplot2 aesthetics,Better data quality,Alternative to plotly and shiny for making ggplot2 plots interactive,It's not a substitute for statistical analysis and critical reasoning,Embrace of open-source tools such as R rather than analysis tools such as SPSS or Tableau,Interactive client-side visualizations from ggplot2,Hadley Wickham;Stephen Few,Same,male,25 or younger,USA or Canada,white,Private sector
3/1/2017 13:31:15,5,PhD,Equal Parts School and Self-Taught,Intended to work in data visualization,No,Manager Data Science,Data Visualization Role has same compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Marketing,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,No,Engineering,5,10,10,0,5,Tableau;Power BI;D3;ggplot,I'm able to choose my own tools.,Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart,General Public;Engineers;Project Managers;Executives,Moderate,Monthly,Summarization,Subordinate,Not doing enough data science- and especially visualizations,No longer using D3 )-:,Less interference from boss,More of it,Design matters,Less management,,Hadley Wickham;Stephen Few;Robert Kosara;Susan,Much more,male,56+,USA or Canada,white,Private sector
2/28/2017 20:02:50,1,Other,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Technical Research Assistant,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,ggplot2/Pandas Charts,No,Engineering;Research,5,50,15,0,30,ggplot;Other R;Pandas;Other Python;Shiny,I'm able to choose my own tools.,Documents;Presentations;Email,Line Chart;Bar Chart;Network Diagram,Scientists;Researchers,Moderate,Monthly,Analysis;Summarization;Learning;Research;Presentations,Subordinate,Lack of collaborators,Learning curve,Have more engineers to collaborate with.,More frequent / higher quantity of data viz work.,How much code goes into each visualization.,More collaborators,,Hadley Wickham;timelyportfolio;Irene Ros,More,male,26 - 35,USA or Canada,white,Academic
2/27/2017 12:49:14,2,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Business intelligence specialist ,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview,Embedded in another team,Business Intelligence Tools,No,Analysis ,50,,,,,Excel;Tableau,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard,Line Chart;Bar Chart;Treemap;Scatter plots;radial charts,General Public;Analysts,Intro;Moderate,Monthly,Analysis;Research,Subordinate,,,,,,Official training ,,Hans Rosling,More,male,36 - 45,Europe,white,Public sector
2/27/2017 13:12:27,5,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Both,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,Yes,Design;Engineering;Marketing;Research;IT,10,0,0,0,0,Illustrator;Excel;Processing;Leaflet;Mapbox;WebGL;Highcharts;Other Javascript;Other R;Other Python;Java;React;Angular;D3,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Scrollytelling;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Network Diagram;Choropleth Map;Flow Diagram;3D Chart;VR/AR Charting,General Public;Scientists;Medical Professionals;Product Managers;Project Managers;Executives,Intro;Moderate;Expert,Daily,Analysis;Summarization,Collaborative,Clients,Messy data,Work agile with clients,Make sure data is structured properly at all times instead of hotfixing things,,Jira,,Hans Rosling,Same,male,26 - 35,Europe,white,Private sector
2/28/2017 10:44:00,2,Bachelors,Equal Parts School and Self-Taught,Intended to work in data visualization,Not a data visualization professional yet,Graduate Student,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Student,,,,,,10,0,25,15,25,ggplot;Other R;Cytoscape,I'm able to choose my own tools.,Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Infographics;Network Diagram,Analysts;Scientists;Medical Professionals;Project Managers,Intro;Moderate;Expert,Weekly,Analysis;Summarization;Learning;Research,Collaborative,,I would like better tools for polishing graphs and figures to be publication ready - something like adobe illustrator but open!,,Protected/dedicated time for data visualization - courses- lectures- etc. ,Data visualization depends on the underlying data type- question of interest- and context of problem. There are many aspects that go into the decisions behind which visuals to use and not every graph type is necessarily appropriate for a given data set.,More hands-on training in the tools that professionals use day-to-day. Less theory and more application! Especially application with messy real-world data- not just cleaned and simple data examples. More open ended data visualization problems.,Course material incorporated into curriculum! I would have loved a dedicated data visualization course- rather than needing to learn these tools (which are part of the job) on my own time. ,Hans Rosling,Same,female,26 - 35,USA or Canada,white,Public sector
3/1/2017 12:38:02,2,Bachelors,Mostly Self-Taught,Intended to work in data visualization,Yes,Data Analyst Leader,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Marketing,Embedded in another team,Business Intelligence Tools,No,Design;IT;Operations,15,60,0,10,15,Excel;Other BI;Spotfire,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Presentations;Email,Line Chart;Bar Chart;Flow Diagram,General Public;Analysts;Product Managers;Project Managers;Executives,Expert,Hourly,Analysis;Summarization;Learning;Research,Collaborative,Limited use of tools allowed,Tools used are slow,Better software,More design based approach,Effort it takes to produce,Less busy work,,Hans Rosling,More,male,26 - 35,USA or Canada,white,Private sector
3/1/2017 14:07:17,10,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Director,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication,Both,Business Intelligence Tools;Completely custom,No,Design;Research;IT,33,1,1,33,0,Excel;D3,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Choropleth Map,General Public;Scientists;Executives;educational researchers,Intro;Moderate;Expert,Daily,Analysis;Summarization;Learning;Research,Subordinate,Rework,I'm not a computer scientist and I need to learn more ways to take data in simple formats and create meaningful visualizations from them. I'm frustrated that I don't have facile enough skills or time to learn new skills that would help me produce new charts without know D3 inside and out (I currently work with D3 developers to implement ideas/concepts).  Having better prototyping skills might reduce rework. ,less rework,less rework,It takes time... people think an idea they have can just be shown on the screen in hours. ,more flexible packages might help... so people can play more with data on their own in a simple WYSIWYG editor,Opportunities for non computer scientists to learn more about how to create their own visualizations. ,Hans Rosling,Much more,male,36 - 45,USA or Canada,white,Not-for-profit
3/1/2017 20:46:13,8,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Senior Product Manager,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Communication;Exploration,Embedded in another team,Business Intelligence Tools,No,Engineering;Marketing,5,5,5,2,5,Tableau;D3;Vega;CODAP;Fathom,I'm able to choose my own tools.,Presentations;Email,Line Chart;Bar Chart;Pie Chart;Time Series,Product Managers;Executives,Moderate,Monthly,Research,Subordinate,Database tables are messy and not normalized,Hard to get time and resources to focus on this aspect of my job,Get more resources to focus on data and analytics,Learn how to draw D3 graphs with R,How powerful a tool it is for exploring relationships and correlations,More time to work on data visualization,Short tutorials on how to get started,Hans Rosling,Much more,female,46 - 55,USA or Canada,asian,Private sector
3/8/2017 1:56:35,5,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,eScience Research Engineer,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Exploration,Embedded in another team,ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Engineering;Research,40,20,10,10,20,Plotly;D3;Leaflet;WebGL;Other Javascript;ggplot;Pandas;Other Python;Java;React;Angular;QGIS;Gephi,I'm able to choose my own tools.,Dashboard;Static Web Page,Line Chart;Bar Chart;Pie Chart;Dendrogram;Network Diagram;Choropleth Map;Raster Map;Custom charts,General Public;Analysts;Engineers;Scientists,Moderate;Expert,Weekly,Analysis;Research,Collaborative,Underestimation of the value of Visualization,"1) Data cleanup or chasing data to visualize. 
2) Extremely rapid changes in tools required for web development","The level of recognition. 
Everyone thinks they can make a decent visualization (hint: they can't)",I'd love to make it more robust (be able to deal with more data anomalies etc.) but I don't get the time to do it properly.,Everyone thinks they can make a decent visualization (hint: they can't),Recognition,How to improve the status of the field and change mindsets of data visualization consumers to recognize they need to invest more time and money into good visualizations.,Hans Rosling,Same,male,26 - 35,Europe,white,Public sector
2/27/2017 18:20:31,3,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Owner & CEO,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Consultant,,,,,,25,,,25,,Excel;Drawing,I'm able to choose my own tools.,Dashboard;Static Web Page;Documents;Presentations;Email;Researcher -- peer-reviewed articles;technical reports;grant reports,Line Chart;Bar Chart;Pie Chart;Dot plots;heat maps;exploratory visualizations (spark lines;etc.),Analysts;Executives;Foundations' Board of Trustees; nonprofits' Board of Directors; policymakers; members of Congress,Intro;Moderate,Quarterly,Analysis;Summarization;Learning;Research,Collaborative,,Tableau salespeople pushing software and selling selling selling; clients buy the software and make overly complicated graphs. But hey- it keeps me in business to be hired over and over to fix their Tableau visualizations.,Get someone else to do invoicing for me! What a time-suck.,Learn more about interactivity. I've mastered static graphs so that feels like the next frontier in my learning.,I'm self-employed- as are dozens (hundreds) of us- so this question is n/a.,,Leave them be. Don't bother them by asking for advice.,Hans Rosling;Tufte;Alberto Cairo;Jon Schwabish;Cole Nussbaumer Knaflic;Andy Kirk,Less,female,26 - 35,USA or Canada,white,Private sector
2/27/2017 13:18:20,1,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Consultant,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Consultant,,,,,,5,20,20,15,40,Excel;Plotly;D3;Leaflet;ggplot,,Embedded in a tool;Dashboard,Bar Chart;3D Chart,General Public;Analysts,Intro,Quarterly,Entertainment;Analysis;Summarization,Consultative,,,,,The amount of time it takes to clean data in order to present it. ,,How to have upward mobility in the data viz field. How make your 'spaghetti code' neater. ,Hans Rosling;Nadieh Bremer,Much more,,25 or younger,,,Private sector
3/5/2017 3:02:09,7,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Data Analyst/Manager,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Summary/Overview;Communication;Marketing,Embedded in another team,Excel;ggplot2/Pandas Charts;Modeling,No,Research,5,10,10,0,75,Excel;Plotly;Leaflet;ggplot;Other R;QGIS,I'm able to choose my own tools.,Interactive Web Pages (hopefully!),Line Chart;Bar Chart;Pie Chart;Dendrogram;Network Diagram;Choropleth Map;Flow Diagram,Project Managers;Executives,Moderate,Weekly,Analysis,Subordinate,Data prep. No one responsible for information architecture.,DV is underappreciated.,Working to a coherent data strategy- architecture- led by practical people of vision.,I'd like to be better at it.,How long it takes. The background data prep. What the DVs show.,Coherent data- information strategies.,Blogs.,Hans Rosling;Stephen Few;Nathan Yau,Much more,male,46 - 55,Europe,white,Public sector
3/3/2017 14:57:49,3,Other,Mostly Self-Taught,Intended to work in data visualization,No,UX Designer,Data Visualization Role has higher compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Consultant,,,,,,10,1,0,87,2,Illustrator;D3;Mapbox;Other Javascript;QGIS;Sketch;Framer,I'm able to choose my own tools.,Dashboard;Scrollytelling;Static Web Page;Presentations,Line Chart;Bar Chart;Pie Chart,General Public;Engineers;Medical Professionals;Project Managers,Moderate,Hourly,Analysis;Summarization;Learning,Collaborative,Not undertanding how to extract value of the visual story,Not having the right tooling at hand,Bring closer the design team to using real data on their design,Bring d3.js closer to Sketch / Photoshop / Illustrator,The amount of time spent on a piece over the value of it,Again- bring d3.js closer to my prototyping tools (Framer),More effort integrating the tools to the designer's workflow,Ian Johnson,Much more,male,36 - 45,USA or Canada,hispanic,Private sector
2/28/2017 11:01:04,9,PhD,Equal Parts School and Self-Taught,Intended to work in data visualization,Yes,Data Scientist,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Communication;Exploration,Both,Business Intelligence Tools;Completely custom,No,Engineering;Research,45,20,5,15,20,Tableau;D3;Leaflet;Other Javascript;React;Angular;Vega,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Static Web Page;Presentations,Line Chart;Bar Chart;Network Diagram;Choropleth Map;Flow Diagram;Icicle;Timeline;Heatmap,General Public;Engineers;Scientists;Product Managers,Intro;Moderate;Expert,Daily,Entertainment;Analysis;Learning;Research,Collaborative,had to do regular front-end tasks (such as build forms) in addition to vis work and expected to handle that regularly,lack of engineering support for data pipeline. ,clear scope of work that separates front-end dev and vis role. ,more engineering resources (our team hired a junior software engineer to help  recently and my life has been much better since),Non-engineers just want something eye-catching. Some think visualization has values but does not see how we can help them. Some cannot tell the difference between vis person and front-end dev. Knowing how to code in D3 and designing an effective vis are different- but not every get this. ,Make data vis an essential part of data science workflow. Increase the priority of data presentation- not just analysis. ,How to build a successful data visualization team? Strategy for finding projects  that create impact and how to insert ourselves into other teams workflow? How to effectively build new interesting projects and maintain multiple systems from the past? ,IEEEvis;OpenVisConf;NYT;Nathan Yau,More,male,26 - 35,USA or Canada,asian,Private sector
