Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
2-5	2	Bachelors	Graphic Design	Equal Parts School and Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	UX Designer	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Exploration, Integral part of the software	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Domo	Yes	Design, Engineering, Data Science/Analytics	1	0	0	8	0	1	D3, Illustrator, Processing, Domo, google sheets	We have a set list of tools we're expected to use for data visualization.	Embedded in a tool	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Flow Diagram	General Public, Analysts, Executives, Designers	Moderate	Hourly	Analysis, Summarization	Subordinate	4	The data side of data visualization				4	5			Giorgia Lupi	Much more	Female	26-35	Utah 	Public sector
2-5	2	Bachelors	Geoscience	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Analyst 	Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Consultant/Contractor/Freelancer						1	2	0	0.5	3	1	Excel, ggplot, Highcharts, Plotly, Power BI, Python, R	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Documents	Line Chart, Bar Chart	Analysts, Executives	Moderate, Expert	Hourly	Analysis, Summarization	Consultative	4	The data side of data visualization	My coding skill	more training support from employer 	Time spent on prep 	4	4	More high quality data in my field	More examples and video coding	Hadley Wickham	Same	Male 	26-35	Washington, DC	Public sector
2-5	2	Masters	Power engineering	Mostly Self-Taught	Workshops	Ended up doing data visualization as a requirement of the job	Yes	Specialist	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication	Separate data visualization group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint, R ggplot2	No	Engineering, Marketing, Data Science/Analytics	2	1	3	1	1	0	ggplot	We have a set list of tools we're expected to use for data visualization.	Scrollytelling, Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map	Analysts, Engineers, Executives	Intro	Monthly	Analysis, Summarization, PR/Branding	Consultative	4	The data side of data visualization	Not having a clear overview what is needed from me	Clear objective, what is needed	Plotting is the easy part, connecting the dots to get useful insight is hard	3	5	Default design theme i can use	How big projects manage their workflow	Hadley Wickham	Same	Male	26-35	Estonia	Public sector
2-5	2	Masters	Public Health	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Evaluation Consultant	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	No	Research, Data Science/Analytics	2	0	2	1	3	0	Excel, Illustrator, Tableau	I'm able to choose my own tools.	Dashboard, Documents, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Flow Diagram	General Public, Analysts, Scientists, Medical Professionals, Project Managers, Executives	Intro, Moderate	Monthly	Analysis, Summarization, Education, Research	Collaborative	2	The design side of data visualization	The time taken to produce a visualization is often under valued and under estimated	Developing more timely visualizations for stakeholders' immediate consumption	The time it takes and the decision making process. It's not easy/quick to make good viz, a lot of thought goes into what to show and how to show it.	4	5	More learning/education time.	More content- examples, step by steps. keep sharing ideas and best practice. Keep the conversation going	Stephanie Evergreen, Ann Emery	More	Female	26-35	Canada	Public sector
2-5	2	Masters	Business Analytics	Equal Parts School and Self-Taught	Examples	Intended to work in data visualization	No	Product Manager	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	Less	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	No	Design, Engineering, Marketing, IT, Leadership, Data Science/Analytics, Supply Chain	1	1	0	2	4	1	Excel, R, Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Presentations, Email	Line Chart, Bar Chart, Infographics, Pictorial Visualization, Flow Diagram	General Public, Analysts, Product Managers, Project Managers, Executives	Intro, Moderate	Weekly	Analysis, Summarization	Consultative	2	The data side of data visualization	Getting people to see the value of visualization and organizational change management	More freedom to explore creatively 	The value that visualization can provide, over just tabular data	5	3	Colleagues that understand the value of visualization	Advice on changing people’s misconceptions and how to convince people to change bad ways of visualizing (I.e. pie charts)	Stephen Few	More	Female	25 and lower	California	Public sector
2-5	2	Masters	Computer Science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Developer	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	Don't Know	IT	7	0	0.5	0	0.5	0	D3, Angular, Highcharts, Leaflet, Mapbox, QGIS, React, WebGL	I'm able to choose my own tools.	Embedded in a tool, Scrollytelling, Static Web Page, Presentations	Pie Chart, Hexbin/Heatmap, Infographics, Choropleth Map, Raster Map	General Public	Expert	Hourly	Journalism, Education	Collaborative	4	The data side of data visualization	Lack of comprehension of the required time to do it well	(Almost) no deadlines	They don't feel it useful. It's just colors and graph and stuff. What matters to them is the raw data we produce	5	5	Consistency of our data models			Much more	Male	36-45	Spain	Public sector
2-5	2	Technical School	computer science and information system	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Data Visualization Engineer	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Summary/Overview, Monitoring	Embedded in another group	Notebooks, Completely custom (Processing, D3, custom code), Excel/PowerPoint	Don't Know	Engineering	5	1	1	1	1	2	D3, React, Vue	I'm able to choose my own tools.	Dashboard, Scrollytelling	Line Chart, Bar Chart, Scatterplot, Dendrogram	General Public, Analysts, Engineers, Scientists	Intro, Moderate	Daily	Analysis, Summarization	Collaborative	4	Both				3	4				Much more	Male	25 and lower	Indonesia	Public sector
2-5	2	Bachelors	IT & business	Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	Yes	Business Intelligence Consultant	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Consultant/Contractor/Freelancer						2	2	1	1	2	0	Qlik	We have a set list of tools we're expected to use for data visualization.	Dashboard	Line Chart, Bar Chart, Scatterplot	General Public, Engineers, Product Managers, Project Managers	Moderate	Weekly	Analysis, Summarization	Consultative	3	The data side of data visualization	Time	More time die innovation	Complexity	5	3	Time			More	Male	26-35	Netherlands	Public sector
2-5	2	PhD	Biochemistry 	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes	Health Science Administrator	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	More	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Don't Know	Research, IT, Leadership, Data Science/Analytics							D3, Excel, ggplot, Illustrator, Plotly, R	I'm able to choose my own tools.	Dashboard, Documents, Presentations	Bar Chart, Pie Chart, Hexbin/Heatmap, Infographics, Pictorial Visualization, Choropleth Map, Flow Diagram, Sunburst diagram, Bubble plot, likert plot, chord diagram, 	General Public, Scientists	Moderate	Monthly	Analysis, Summarization, Education, Research		3	The design side of data visualization				5	5				More	Female	36-45	North Carolina	Public sector
2-5	2	Bachelors	Computer Science	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Data Visualization Artist	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Hired to do data visualization	Less	Consultant/Contractor/Freelancer						2			4	2		D3, Illustrator, Python	I'm able to choose my own tools.	Scrollytelling, Static Web Page, Presentations	Line Chart, Pictorial Visualization	General Public, Scientists, Executives	Moderate	Quarterly	Entertainment, Journalism, Education, Research	Collaborative	4	The design side of data visualization		Getting paid more for it 		5	5			Elijah Meeks	More	Female	36-45	Washington	
2-5	2	Bachelors		Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Data Scientist	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Hired to do data visualization	Less	Employee at a Company	Analysis, Marketing, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Completely custom (Processing, D3, custom code)	Yes	Design, Marketing, Data Science/Analytics	5	3	1	2	4	1	D3, Mapbox, Python, R, React, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Network Diagram, Choropleth Map	General Public, Scientists, Executives	Moderate, Expert	Daily	Summarization, Research, PR/Branding	Collaborative	4	The design side of data visualization				2	5				Much more	Male	25 and lower	India	
2-5	2	Masters	Financial Engineering	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Senior Analytics Engineer	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, Completely custom (Processing, D3, custom code), Excel/PowerPoint	Don't Know	Data Science/Analytics	0	2	2	0	4	0	Excel, Tableau, Vega	I'm able to choose my own tools.	Dashboard, Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot	Analysts, Engineers, Scientists, Product Managers, Project Managers, Executives	Intro, Moderate	Daily	Analysis, Summarization, Research	Collaborative	4	Other				4	4				Same		N/A		
2-5	2	Masters	Math	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes		Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview	Embedded in another group	Completely custom (Processing, D3, custom code)	Don't Know	Research	0.5	1	1	0	0.5	0	D3, ggplot, Plotly, Python, R	I'm able to choose my own tools.	Shiny app.	Line Chart, Bar Chart, Scatterplot	Analysts, Product Managers	Moderate	Monthly	Analysis, Summarization	Consultative	3	The design side of data visualization				4	4				More	Male	25 and lower	UK	
2-5	3	Masters	Sociology	Mostly Self-Taught	Workshops	Intended to work in data visualization	Yes	Junior Research Fellow	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication	Embedded in another group	General charting libraries (highcharts, recharts)	Yes	Research, Data Science/Analytics	1	1	1	1	5	0	ggplot, Leaflet, Plotly, R	I'm able to choose my own tools.	Static Web Page, Presentations	Line Chart, Bar Chart, Hexbin/Heatmap	General Public, Scientists	Intro, Moderate	Monthly	Journalism, Summarization, Research	Collaborative	4	The design side of data visualization	lack of appropriate data	more complicated coding (say, in D3)		3	4			Hadley Wickham	Much more	Male	25 and lower	Russia	Academic
2-5	3	PhD	Biology	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Computational scientist	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Exploration	Embedded in another group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Excel/PowerPoint	Yes	Research, Data Science/Analytics	5	2	5	1	2	0	D3, Python, WebGL, Custom Jupyter widgets 	I'm able to choose my own tools.	Embedded in a tool, Static Web Page, Documents, Presentations, Jupyter notebook	Line Chart, Bar Chart, Scatterplot, Dendrogram, Heatmap	Analysts, Scientists	Moderate, Expert	Weekly	Analysis, Research		5	The data side of data visualization	Lack of appreciation of the necessity of visualizing as part of analysis	More freedom	The importance of building open source generalizable tools for analyzing a wide variety of data	4	3	More time		Mike Bostock, Sylvain Corlay	More	Male	26-35	New York	Academic
2-5	3	PhD	Psychology	Mostly Self-Taught	Books	Ended up doing data visualization as a requirement of the job	Yes	Senior Lecturer	Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	More	Academic	Analysis		Excel/PowerPoint	No	Data Science/Analytics							Excel	I'm able to choose my own tools.	Lectures for students	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization	Students	Moderate	Weekly	Education, Research	Subordinate	4	The design side of data visualization	Students fear of data analysis	More student contract	Importance of communication	2	3	Undead student contract time	Teaching resources	Stephanie Evergreen, Andy Kirk	More	Male	46-55	Northern Ireland	Academic
2-5	3	PhD	Engineering	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Associate Professor	Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	More	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Exploration	Embedded in another group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Engineering, Research, Data Science/Analytics	0.5	0.5	3.5	0.5	2.5	0	D3, Excel, ggplot, Gephi, Microstrategy, Python, R, Tableau	I'm able to choose my own tools.	Embedded in a tool, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map	General Public, Analysts, Engineers, Executives	Moderate	Quarterly	Journalism, Analysis, Summarization, Education, PR/Branding	Collaborative	3	The design side of data visualization	Lack of design principles	Lack of training	Relationship with data	3	4	Better libraries 	First principles 		More	Male	46-55	Holland	Academic
2-5	3	PhD	Computer Science	Equal Parts School and Self-Taught	Examples	Intended to work in data visualization	Yes	PhD student	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Student						4	2	2	1	1	0.5	D3, Excel, ggplot, Python, Vega, WebGL	I'm able to choose my own tools.	Embedded in a tool, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Dendrogram, Network Diagram, Choropleth Map	General Public, Analysts, Engineers, Scientists	Intro, Moderate, Expert	Weekly	Entertainment, Analysis, Summarization, Education, Research	Collaborative	5	The design side of data visualization				4	2	better data			More	Male	25 and lower	Georgia	Academic
2-5	3	Bachelors	Genetics	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Graduate student	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Student						1	0	2	0	1	0	ggplot, Illustrator, R	I'm able to choose my own tools.	Documents, Presentations, Journal articles	Bar Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization, Dendrogram	Scientists	Intro, Moderate, Expert	Quarterly	Education, Research	Collaborative	4	The design side of data visualization	When ALMOST everything can be done in ggplot... And the one bit that can't be looks out of place. 	Better colour schemes. I visualise many aspects of the same data and struggle to find really good consistent palettes that don't make things confusing.	That small changes in the way data is presented can massively impact the way it is interpreted by readers. There are no neutral choices! 	4	4	If tools took the same data formats	Psychology of using different eg. Colours and shapes. I've seen those discussions but would love to see more.		More	Female	26-35	New Zealand	Academic
2-5	3	Masters	Chemical Engineering	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	PhD Candidate	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Student						2	1	4	2	1	0.5	Python	I'm able to choose my own tools.	Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Dendrogram	Engineers, Scientists, Project Managers	Intro, Moderate, Expert	Weekly	Analysis, Education, Research	Collaborative	4	The design side of data visualization	The requirement that journal figures be static	Time to incorporate techniques beyond matplotlib/seaborn	How long it takes to make a nice figure	3	4	More adoption of non-standard figures in the chemical engineering / materials science fields	More digestible / advertized studies on human psychology as it relates to viz interpretations		More	Male	26-35	Colorado	Academic
2-5	3	Bachelors	Political Science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Data Analyst	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	No	IT	2	3	1	1	3	0	D3, Excel, Illustrator, Power BI, Python, R, Tableau	I'm able to choose my own tools.	Documents, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Flow Diagram	Executives	Intro	Monthly	Analysis, Summarization, Education, Research	Consultative	2	The data side of data visualization	I'm the only person at my organization that does data visualization, which makes it difficult to get past tricky analysis questions or to just have an iterative process.	A stronger network of people who understand the work.	People who use Excel to create charts think that kind of work is the same as something in D3, R, Python, etc. and don't understand the design/statistical complexities. 	4	4	Honestly, for the quick stuff, moving from Power BI to Tableau.			More	Male	25 and lower	New York	Academic
2-5	3	PhD		Equal Parts School and Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Professor	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Consultant/Contractor/Freelancer						2	3	2	0	1	0	D3, ggplot, Gephi, Python	I'm able to choose my own tools.	Dashboard, Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, 3D Charts	Analysts, Scientists	Moderate	Monthly	Analysis, Education, Research	Consultative	4	The data side of data visualization				2	2				More	Male	26-35	Argentina	Academic
2-5	3	Bachelors	Math	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	BI Specialist	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Employee at a Company	Analysis	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	Yes	Data Science/Analytics	2			1			Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Choropleth Map, Flow Diagram	Analysts, Executives, planners	Expert	Weekly	Analysis, Education, Research	Consultative	3	The data side of data visualization	waiting for clean data	more autonomy	they just think I press a button	5	3	less input by committee			Much more	male	36-45	UK	Academic
2-5	3	Bachelors	Business Management	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Decision Support Analyst	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	No	Marketing, Research, IT, Data Science/Analytics	4	1	0	1	1	0	Tableau, Photoshop	I'm able to choose my own tools.	Dashboard, Static Web Page, Documents, Presentations, Email	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Network Diagram	Executives	Moderate	Weekly	Analysis, Summarization, Education, Research	Consultative	4	The data side of data visualization	Poor support from IT.	Better working environment.	That it's more than"making it look pretty".	2	4				More	Male	26-35	Kentucky	Academic
2-5	3	Masters	Management	Equal Parts School and Self-Taught	Books	Ended up doing data visualization as a requirement of the job	Yes	eLearning Data Analyst, BI Specialist, Business Data Reporting Analyst	Data Visualization Role has higher compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Summary/Overview, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	No	Research, IT, Data Science/Analytics	1	3.5	0	0.5	3	0	Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Infographics, Flow Diagram	General Public, Product Managers, Executives	Intro, Moderate	Monthly	Analysis, Summarization, Education, PR/Branding	Subordinate	2	The data side of data visualization	Data prep	More analysis	Best practices	5	4	Analysis			Less	Female	26-35	Ohio	Academic
2-5	3	Masters	Geography	Equal Parts School and Self-Taught	Examples	Intended to work in data visualization	Yes	Cartographer	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Consultant/Contractor/Freelancer						1.5	1	0.5	3	1.5	0	ArcGIS, D3, ggplot, Gephi, Illustrator, QGIS, R, Vega	I'm able to choose my own tools.	Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Network Diagram, Choropleth Map, Raster Map	General Public, Analysts, Scientists	Intro, Expert		Journalism, Analysis, Research	Collaborative	5	The data side of data visualization	time			2	5		failed data Visualization post-mortems	Alberto Cairo	More	Male	26-35	France	Consulting
2-5	3	Other	Political science	Mostly Self-Taught	Workshops	Ended up doing data visualization as a requirement of the job	No	Data Analyst	Data Visualization Role has same compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint, R	Don't Know	Research, Data Science/Analytics	1	1	2	1	1	1	ggplot, R, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map	General Public, Analysts, Product Managers, Project Managers, Executives	Expert	Daily	Analysis, Research, PR/Branding	Consultative	5	The data side of data visualization				3	5				Same	Male	26-35	Washington, DC	Consulting
2-5	3	Masters	Fine Arts	Mostly Self-Taught	combination of using ready made tools, real-life collaborating and books	Ended up doing data visualization as a requirement of the job	No	Multimedia Director	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Communication, we are an editorial publication for scientists		Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint, infogram, carto, etc	Yes	Design, Research, IT, Data Science/Analytics	1	0	1	2	1	0	Excel, infogram, carto, flourish, InZight	I'm able to choose my own tools.	on a public facing website	Bar Chart, Infographics, Pictorial Visualization	General Public, Scientists	Expert	Daily	Journalism, Analysis, Education, Research	Collaborative	2	The data side of data visualization	Data can be confusing, and data sets are often small			2	3	if I had more time to explore tools		Alberto Cairo, Nicolas Rapp	More	Female	36-45	New York	Journalism
2-5	3	Bachelors	Journalism	Equal Parts School and Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes		Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis	Separate data visualization group	Business Intelligence Tools (like Tableau) Charts	No	Design, Newsroom	5	0	0	3	0	0	ArcGIS, Excel, Illustrator, Tableau	We have a set list of tools we're expected to use for data visualization.	Embedded in a tool	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Raster Map	General Public	Intro	Weekly	Journalism	Subordinate	3	The design side of data visualization	Print versus online taking more time	Only make online visualizations	The restrictions of print	4	3	More independence from assignments	Better tutorials	Ben Welsh	More	Male	25 and lower	California	Journalism
2-5	3	Masters	Journalism	Mostly from School	Workshops	Intended to work in data visualization	Yes	Infographer	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Employee at a Company	Communication	Separate data visualization group	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	No	Design	1	0	0	2	4	0	D3, ggplot, Illustrator, QGIS, R	I'm able to choose my own tools.	Static Web Page	Line Chart, Bar Chart, Infographics, Choropleth Map	General Public	Intro	Weekly	Journalism	Subordinate	3	The data side of data visualization	I don't enough opportunities to do complex data visualizations	Doing less simplistic graphics and doing more in-depth visualizations	It's not just beautifying things.	3	4	More time for some projects.		Lena Groeger	Much more	Male	36-45	Miami	Journalism
2-5	3	Masters	Journalism	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	Data Visualization Developer	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	Less	Employee at a Company	Analysis, Summary/Overview, Communication	Both	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), hand built charting tool based on d3/backbone	Don't Know	graphics	2	0	2	2	2	0	ArcGIS, D3, Illustrator, QGIS, Web Components, WebGL	I'm able to choose my own tools.	Scrollytelling, Static Web Page, Documents	Line Chart, Bar Chart, Scatterplot, Infographics, Pictorial Visualization, Choropleth Map, Raster Map, Flow Diagram, 3D Charts	General Public, business people	Moderate	Hourly	Journalism, Analysis		3	The design side of data visualization	not enough time	more time	not everything needs to be a map	5	4	more colleagues 		new york times, washington post, jer thorpe, edward tufte	More	Male	36-45	New York	Journalism
