Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Equal Parts School and Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,Analyst,$20k - $40k,,"Analysis, Summary/Overview, Communication, Exploration, Education",There are no specialists in data visualization in my organization,Hand-crafted in a graphics editor (Illustrator),5,"Research, Data Science/Analytics",5,,10,4,10,0,"Excel, ggplot2, Illustrator, QGIS, R, Tableau, Web Components",I'm able to choose my own tools.,"Scrollytelling, Static Web Page, Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Analysts, Scientists","Intro, Moderate",Weekly,"Journalism, Analysis, Summarization, Education, Research",Collaborative,5,People not seeing its potential to deliver a clear message,More freedom to propose useful dataviz,How it could help to maximize the impact our the research being producted in the organization,3,4,4,,,,More,1,Masters,Public sector,sociology,Man,Yes,Santiago,Chile,
Mostly Self-Taught,Collaboration with more skilled practitioners,Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Engineer,$200k+,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration",Both,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Engineering, Marketing, Research, IT, Leadership, Data Science/Analytics",40,25,5,5,10,0,"D3, Mapbox, kepler.gl, QGIS, Tableau, WebGL",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Raster Map, 3D Charts","General Public, Analysts, Engineers, Scientists, Medical Professionals, Product Managers, Project Managers, Executives, Designers","Intro, Moderate, Expert",Not tracked / Unknown,"Analysis, Summarization, Research",Collaborative,5,,,,3,3,3,,,,Much Less,30,Bachelors,Private sector,Psychology,Man,"No, but I identify as an Ally",San Francisco,USA,English
Mostly Self-Taught,"Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,Data visualization is the focus of my job,Data visualization is only part of my job,More,Analyst,$80k - $100k,,"Analysis, Communication, Exploration, Storytelling, Education",Both,"Business Intelligence Tools (like Tableau), Interactive Notebooks",6,"Engineering, Marketing, Data Science/Analytics",25,15,6,10,10,10,"Excel, Illustrator, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Embedded in a tool, Dashboard, Interactive Notebook, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Flow Diagram (Sankey, DAGRE, Flow Chart)","Engineers, Executives",Moderate,Daily,"Analysis, Education, Research",Collaborative,3,Access to data sources ,Less distractions ,,5,4,4,More training ,,,More,2,Technical School,Public sector,Radio Television marketing,Man,,Chicago ,USA,
Equal Parts School and Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Student,$20k - $40k,$15.00,Business insight / revenue trends ,Both,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts)",6,Data Science/Analytics,6,0,12,12,12,0,"Excel, Python, Vue, Pen & Paper",I'm able to choose my own tools.,"Static Web Page, Email","Bar Chart, Flow Diagram (Sankey, DAGRE, Flow Chart)",Executives,Moderate,Daily,Analysis,Subordinate,1,Lack of time ,More autonomy ,,4,2,4,Case studies & personal narrative ,"How they started, and how they got their current position ",,Much more,0.5,Bachelors,Academic,Data Science ,Man,"No, but I identify as an Ally",Tampa,USA,
Mostly Self-Taught,"Books, Workshops, Examples, Collaboration with more skilled practitioners",Improving my design skills,No,Data visualization is the focus of my job,Data visualization is only part of my job,Less,None of these describe my role,$80k - $100k,$95.00,"Analysis, Summary/Overview, Communication, Marketing, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"IT, Data Science/Analytics",30,0,0,5,0,10,"Excel, Power BI, Pen & Paper",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Embedded in a tool, Dashboard, Presentations, Email","Line Chart, Bar Chart, Infographics","Analysts, Product Managers, Executives",Intro,Not tracked / Unknown,"Analysis, Summarization, PR/Branding",Consultative,4,Data visualizations possibilities of the tool we use (PowerBI),get better R and Power BI,The true value/power of data visualizations and awareness of choices regarding data visualization principles,5,3,5,A dedicated team to help the organization,"How can I my organization create awareness that they understand the strength/power of it and start seeing it as a real asset and a true part of the complete data process. It is not something you do on the site, like ""Oh, we got 15 minutes, let's make a data visualization to finalize the report!"".","Alberto Cairo, Andy Kirk, Stephen Few, Moritz Stefaner",Much more,5,Bachelors,Private sector,,Man,No,Zuidoostbeemster,Netherlands,
Mostly Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my data skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$100k - $120k,$350.00,"Analysis, Summary/Overview, Communication, Exploration",Embedded in another group,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Design, Engineering, Marketing, Research, IT, Leadership, Data Science/Analytics",4,8,4,4,8,4,"D3, Python",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Dashboard, Static Web Page, Interactive Notebook, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Treemap","Engineers, Executives",Moderate,Monthly,"Analysis, Summarization",Consultative,2,Lack of access to modern tooling and platform.,Better access to cloud platform services.,They don't understand difference between correlation and consequence.,4,3,4,,,,More,4,Masters,Private sector,Electrical Engineering,Man,"No, but I identify as an Ally",Tokyo,Japan,Japanese
Equal Parts School and Self-Taught,"Books, Workshops, Examples, Video Tutorials, Working through a project",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$40k - $60k,,"Analysis, Summary/Overview, Communication, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5,"Research, Data Science/Analytics",10,0,30,5,10,0,"ggplot2, R, Tableau, SAS",I'm able to choose my own tools.,"Dashboard, Static Web Page, Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Analysts, Scientists, Medical Professionals, Executives",Intro,Not tracked / Unknown,Analysis,Collaborative,4,Lack of infrastructure for more ambitious data projects. Isolated systems.,Greater automation of routine reporting,That data work is not magic,4,3,2,,,"Edward Tufte, Hadley Wickham",More,8,ABD,Public sector,History,Man,"No, but I identify as an Ally","Portland, OR",USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Analyst,$60k - $80k,$39.00,"Analysis, Summary/Overview, Communication, Exploration, Storytelling, Education",Embedded in another group,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator)",1,"Marketing, Research, Data Science/Analytics",10,0,20,5,40,10,"ArcGIS, Excel, Python, Tableau",I'm able to choose my own tools.,"Dashboard, Scrollytelling, Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Hexbin/Heatmap, Infographics","Analysts, Project Managers, Executives, Designers",Intro,Daily,"Journalism, Summarization, Education, Research, PR/Branding",Consultative,2,,Time spent on design,Prep time,5,5,5,Time to do it,Monies for resources and tools,Tableau Zen Masters,Much more,25,Masters,Public sector,Biology,Man,"No, but I identify as an Ally",El Paso,USA,
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,Data visualization is the focus of my job,Data visualization is only part of my job,More,"Leadership (Manager, Director, VP, etc)",$40k - $60k,,"Analysis, Summary/Overview",Both,Business Intelligence Tools (like Tableau),6,"IT, Data Science/Analytics",15,,,7,5,,"Excel, Power BI",I'm able to choose my own tools.,Dashboard,"Line Chart, Bar Chart, Pie Chart",Executives,Intro,Daily,Analysis,Consultative,4,,,,4,5,4,,,,More,6,Bachelors,Private sector,,Man,No,Kuwait,Kuwait,
Mostly Self-Taught,"Books, Examples, Video Tutorials, Working through a project",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Analyst,$60k - $80k,$22.00,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",2,"Design, Data Science/Analytics",3,2,15,0,8,0,"D3, Excel, ggplot2, Illustrator, Mapbox, Plotly, Power BI, Python, Qlik, R, React, Tableau, WebGL, Greensock, Canvas",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization, Treemap, Dendrogram, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart), 3D Charts, Swarm Chart, Force-Directed Graph","General Public, Project Managers, Executives",Moderate,Daily,"Analysis, Summarization, Education, Research",Subordinate,2,The learning curve for advanced work,More reactive and animation based,"How much effort goes into small features, especially for tools like D3. They assume that stuff that is easy to do in Illustrator or Excel under strict guidelines, falls into place when make it from scratch",5,2,4,"If D3 and illustrator were one tool. If adobe got their program to have a code tab and generator, and it was properly integrated for manipulating svg, life would be bliss",Tutorials that help you get advanced. Like I already know that pie charts suck and how to make a d3 axis,"Nadieh Bremer, Elijah Meeks",More,2,Bachelors,Private sector,"Economics, Finance",Man,"No, but I identify as an Ally",Melbourne,Australia,English
Mostly Self-Taught,"Books, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$80k - $100k,,"Analysis, Summary/Overview, Communication, Marketing, Exploration",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),3,Data Science/Analytics,15,,,5,20,,"Excel, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Scatterplot","Analysts, Product Managers, Project Managers, Executives",Moderate,Monthly,"Analysis, Summarization, Research",Subordinate,5,inability to move past static reports,interactivity with senior team,the availability of interactive visualizations,2,4,3,having all data sources in one central location,examples and explanations on how senior teams are using dashboards,,More,10,Bachelors,Private sector,Management,Man,No,Santa Clarita,USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$80k - $100k,,"Analysis, Summary/Overview, Marketing",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),4,Data Science/Analytics,5,20,0,0,50,0,"Excel, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Documents, Presentations, Email","Line Chart, Bar Chart, Scatterplot","Analysts, Project Managers, Executives",Moderate,Monthly,"Analysis, Summarization, Education, Research",Subordinate,4,Management desire to keep reporting status quo,"Eliminate paper, force everyone to access interactive dashboards",The potential for deeper dives,2,3,5,Dedicated time to train/improve skills,How to visualize data when interactivity is not an option,,Much more,14,Bachelors,Not-for-profit,Business,Man,No,Santa Clarita,USA,
Mostly Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Working through a project",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Scientist,"Less than $20,000",$1.00,"Analysis, Machine Learning",Embedded in another group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7,"Engineering, Research, Data Science/Analytics",48,22,30,15,5,0,"Excel, ggplot2, Highcharts, Plotly, Python, R",I'm able to choose my own tools.,"Dashboard, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Treemap, 3D Charts","General Public, Analysts, Scientists, Product Managers",Moderate,Not tracked / Unknown,"Analysis, Summarization, Research",Collaborative,5,Lack of enough reference material,Facilitation of access to reference material,That data visualization is not as straight forward as it always seems,4,5,2,,,,Much more,2,Bachelors,Private sector,Financial Engineering,Man,No,Nairobi,Kenya,
Mostly Self-Taught,"Books, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$80k - $100k,$33.00,"Analysis, Summary/Overview, Communication, Exploration",Both,"Business Intelligence Tools (like Tableau), Interactive Notebooks",5,"Marketing, IT, Data Science/Analytics",15,5,,,20,,"Excel, Power BI, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Dashboard, Interactive Notebook, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization, Treemap, 3D Charts","Analysts, Scientists",Moderate,Not tracked / Unknown,"Analysis, Summarization",Collaborative,4,"Based on client needs, sometimes we have to strictly use a specific tool for data visualization and that particular tool might not have features to accomplish client requirements. ",Concentrate more on single tool to become an expert for leveraging different types of visualizations as possible.,,3,5,3,,,,More,2,Masters,Private sector,Computer Science,Man,Prefer not to say,Parsippany,USA,
Mostly Self-Taught,"Books, Examples, Working through a project",Improving my skills with an existing technical tool or library,No,Data visualization is the focus of my job,Data visualization is only part of my job,More,"Leadership (Manager, Director, VP, etc)",$200k+,$188.00,"Analysis, Summary/Overview, Communication, Marketing, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Design, Data Science/Analytics",10,5,0,10,15,0,"D3, Angular, Excel, Pen & Paper",I'm able to choose my own tools.,"Scrollytelling, Interactive Notebook, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Engineers, Product Managers, Project Managers, Executives",Moderate,Daily,"Analysis, Summarization",Collaborative,4,"Clients don’t like paying for the time it actually takes, but love the results when we do take the time",Better JS skills,"It requires time away from screens. Running, walking, sitting and staring",4,4,5,Less security concerns ,Blogs of “how I made this”,"Mike Bostock, Nadieh Bremer, Jorge Camoes, Elijah Meeks",Much more,8,Bachelors,Private sector,Economics,Man,"No, but I identify as an Ally",Hobart,Australia,English
Mostly Self-Taught,"Books, Collaboration with more skilled practitioners, Working through a project",Getting better/more feedback about what I've made,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",,,"Analysis, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7,"Design, Engineering, Marketing, Leadership, Data Science/Analytics",2,2,1,4,2,0,"D3, Excel, Highcharts, R, Web Components, Pen & Paper, Canvas, SVG, Smalltalk",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Interactive Notebook, Documents, Presentations, Newspaper or other physical handout","Line Chart, Bar Chart, Scatterplot, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Analysts, Medical Professionals, Executives","Intro, Moderate, Expert",Weekly,"Analysis, Summarization, Research",Consultative,5,ETL,Better ideas about what is effective for the consumers of my work,,1,5,1,,,Cole Knaflic,Same,20,Masters,Private sector,Mechanical Engineering,Man,No,,,
Mostly Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Developer,$60k - $80k,,"Analysis, Machine Learning, Summary/Overview, Exploration, Storytelling, Education",Embedded in another group,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5,"Research, Data Science/Analytics",20,0,0,30,4,0,"D3, Angular, Excel, Illustrator, QGIS, Vue",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Scrollytelling, Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart), Force-Directed Graph","Analysts, Scientists, Executives",Expert,Weekly,"Analysis, Summarization, Education, Research",Collaborative,4,Not being able to focus on it exclusively,Doing more,How much time it requires to do well,5,5,3,,,Kirk Goldsberry,Much more,4,Masters,Private sector,Math,Man,No,Austin,USA,English
Mostly Self-Taught,Books,Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Hired to do data visualization,Less,Developer,$80k - $100k,$46.00,Communication,Embedded in another group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5,"Design, Engineering, Marketing, Research, Data Science/Analytics",20,0,0,5,5,0,"D3, ggplot2, Illustrator, kepler.gl, QGIS, R, React, WebGL, Pen & Paper, Canvas",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Dashboard, Documents, Email","Infographics, Pictorial Visualization, Treemap, Choropleth Map, Radial Chart","General Public, Executives",Moderate,Daily,Analysis,Subordinate,3,,,,3,1,3,I would spend more time designing and preparing instead of constantl feeling the need to build,,Matt Daniels,More,,Bachelors,Private sector,Economics,Man,No,San Francisco,USA,English
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Hired to do data visualization,Less,Developer,$60k - $80k,,"Communication, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",2,"Design, Marketing, Data Science/Analytics",10,5,5,5,0,0,"D3, Python, QGIS, Tableau",I'm able to choose my own tools.,"Embedded in a tool, Scrollytelling, Presentations, Newspaper or other physical handout",Line Chart,"General Public, sales","Intro, Moderate",Weekly,"Entertainment, Journalism, PR/Branding",Consultative,4,,,,4,5,4,,,,More,2,Masters,Journalism,computer science,Man,No,stockholm,Sweden,"swedish, english"
Mostly Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Working through a project",Improving my skills with an existing technical tool or library,No,Data visualization is the focus of my job,Data visualization is only part of my job,More,Developer,$20k - $40k,$10.00,"Analysis, Machine Learning, Exploration",Embedded in another group,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3,"Engineering, Research, IT, Data Science/Analytics",8,0,0,8,0,2,"D3, Angular, Highcharts, Leaflet, React, Web Components, Knowage",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Embedded in a tool, Dashboard, Documents","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Treemap, Choropleth Map","Analysts, Engineers, Product Managers, Project Managers","Intro, Moderate, Expert",Daily,"Analysis, Summarization, Research",Subordinate,4,Have to work with customers with low subject understanding,Not using too many different tools,"That there are a lot of different specifications for different projects, so there isn't a standard way to proceed",4,5,3,,,,Same,5,Bachelors,Private sector,,Man,No,Turin,Italy,"Italian, English"
Mostly Self-Taught,"Books, Examples, Working through a project, Mentoring/Teaching others",Improving my design skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Engineer,$80k - $100k,,"Summary/Overview, Exploration",There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Engineering, IT",,,,,,,"D3, Angular",I'm able to choose my own tools.,"Embedded in a tool, Dashboard","Line Chart, Bar Chart, Pie Chart, Infographics, Chord diagram",Engineers,Moderate,Weekly,"Analysis, Summarization",Consultative,4,,,,4,3,4,,,,Same,2,Masters,Private sector,,Man,No,,Netherlands,
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project",Improving my data skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Developer,$60k - $80k,,"Analysis, Summary/Overview, Communication, Exploration",There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4,Engineering,0,0,0,0,0,0,D3,We have a set list of tools we're expected to use for data visualization and it causes some issues,"Embedded in a tool, Dashboard","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Treemap",Analysts,Moderate,Weekly,"Analysis, Summarization, Research",Subordinate,1,Little help available ,More focus on training,It’s complicated ,5,1,5,Understand data better,“Sausage making” examples not just the finished tutorial,"Edward Tufte, Stephen Few",More,2,Bachelors,Private sector,Anthropology ,Man,"No, but I identify as an Ally",San diego,USA,English 
Mostly Self-Taught,"Working through a project, Stackoverflow.com and other online tutorials",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Developer,$140k - $160k,,Machine Learning,There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Design, Engineering",5,5,0,15,0,-5,"D3, Python, React",We have a set list of tools we're expected to use for data visualization and this causes no issue,Dashboard,"Line Chart, Bar Chart, Pie Chart","Analysts, Engineers, Scientists","Moderate, Expert",Not tracked / Unknown,"Analysis, Research",Consultative,4,not enough time to hone/show off what I can do,More of it,the amount of time/learning curve,5,4,3,"being allowed to do more complex, interactive visualizations.",more brilliant examples,,More,5,"Some college, no degree, self taught",Public sector,,Man,"No, but I identify as an Ally",Oakland,USA,"English, body "
Equal Parts School and Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Mentoring/Teaching others",Improving my design skills,No,Data visualization is the focus of my job,Data visualization is only part of my job,About as much as I expected for this role,Developer,$60k - $80k,,"Analysis, Communication",,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",2,A Specific product offering to clients,10,0,0,10,5,15,"D3, React",I'm able to choose my own tools.,"Dashboard, Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Pictorial Visualization, Choropleth Map",Analysts,Moderate,Daily,Summarization,Subordinate,1,Poor Data Visualization Interpretation Literacy,"More Visually appealing (attractive color-schemes, 'shadow'ing, ) ",Everyone at my work understands the visual work I do for the company,3,2,4,More time building prototypes && proposals for 'new' ideas,"Compilatons of resources grouped into categories (stying vis, gaining trust with stakeholders to allow more adventure with the development process, detailed docs on tooling)","Data Visualization Society, Tamara Munzner, Edward Tufte, Stephen Few, Cole Knaflic",Much more,3,Bachelors,Private sector,Music,Man,No,"Bethel, CT",USA,English
Mostly Self-Taught,"Books, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$60k - $80k,$60.00,"Analysis, Summary/Overview, Communication, Exploration, Storytelling",Embedded in another group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",4,"IT, Leadership, Data Science/Analytics",15,7,10,3,5,0,"ArcGIS, Leaflet, Mapbox, kepler.gl, Power BI, Python, QGIS",I'm able to choose my own tools.,"Dashboard, Static Web Page, Interactive Notebook, Documents, Presentations","Bar Chart, Pie Chart, Hexbin/Heatmap, Infographics, Choropleth Map, Raster Map","General Public, Project Managers, Executives, Planners",Moderate,Monthly,"Analysis, Summarization",Consultative,4,Procuring funding for cloud services,Have a small pot of money to spend on cloud services,Good data biz takes time,4,5,4,A more formal way to gather requests for dataviz projects,"I’m in local government, but would love to see how dataviz is used in a variety of industries.",,More,6,Masters,Public sector,Geography,Man,"No, but I identify as an Ally","Raleigh, NC",USA,English
Equal Parts School and Self-Taught,"Books, Workshops, Collaboration with more skilled practitioners, Working through a project",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Academic,$60k - $80k,,"Analysis, Storytelling, Education",There are no specialists in data visualization in my organization,Hand-crafted in a graphics editor (Illustrator),2,Research,5,,5,2,5,0.5,"ArcGIS, Excel, Illustrator, R",I'm able to choose my own tools.,"Scrollytelling, Documents, Presentations, Email, Newspaper or other physical handout","Scatterplot, Infographics, Choropleth Map, Raster Map","General Public, Scientists, Executives","Intro, Moderate, Expert",Not tracked / Unknown,"Education, Research",Collaborative,3,Limited time for learning new tools/skills,,The time required and importance of clear visuals,4,4,4,,,,More,5,PhD,Academic,Geology,Man,"No, but I identify as an Ally",Sewanee,USA,English
